	degree_all	degree_centrality_all	degree_in	degree_centrality_in	degree_out	degree_centrality_out	betweenness_centrality	eigenvector_centrality	cluster
Pbx1	23	0.2987012987012987	2	0.025974025974025976	21	0.2727272727272727	61.0	0.7511414047511934	aracne_Microglia_CASTJ
Srrm2	5	0.06493506493506493	5	0.06493506493506493	0	0.0	0.0	0.4907195134332704	aracne_Microglia_CASTJ
Zeb2	21	0.2727272727272727	2	0.025974025974025976	19	0.24675324675324675	52.0	0.5757408468478782	aracne_Microglia_CASTJ
Celf2	3	0.03896103896103896	3	0.03896103896103896	0	0.0	0.0	0.2720942717155739	aracne_Microglia_CASTJ
Kmt2a	32	0.4155844155844156	1	0.012987012987012988	31	0.4025974025974026	74.0	0.558546478130383	aracne_Microglia_CASTJ
Cst3	4	0.05194805194805195	4	0.05194805194805195	0	0.0	0.0	0.42217943383689643	aracne_Microglia_CASTJ
Son	3	0.03896103896103896	3	0.03896103896103896	0	0.0	0.0	0.3690246655586427	aracne_Microglia_CASTJ
Mlxipl	45	0.5844155844155844	1	0.012987012987012988	44	0.5714285714285714	80.0	1.0	aracne_Microglia_CASTJ
Sfi1	3	0.03896103896103896	3	0.03896103896103896	0	0.0	0.0	0.2856318906208447	aracne_Microglia_CASTJ
Setbp1	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.22063875166427158	aracne_Microglia_CASTJ
Akt3	3	0.03896103896103896	3	0.03896103896103896	0	0.0	0.0	0.26827166692487353	aracne_Microglia_CASTJ
Pecam1	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.2710756601290797	aracne_Microglia_CASTJ
Slc16a7	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.1589144042886768	aracne_Microglia_CASTJ
Cfap74	3	0.03896103896103896	3	0.03896103896103896	0	0.0	0.0	0.3354798451314708	aracne_Microglia_CASTJ
Acer3	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.21235299102689273	aracne_Microglia_CASTJ
Cmss1	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.18454227927722813	aracne_Microglia_CASTJ
Cdk8	3	0.03896103896103896	3	0.03896103896103896	0	0.0	0.0	0.19815182248256613	aracne_Microglia_CASTJ
P2ry12	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.20488166877441152	aracne_Microglia_CASTJ
Slc8a1	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.07864810733302353	aracne_Microglia_CASTJ
Slc9a9	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.14972694621094013	aracne_Microglia_CASTJ
Nhs	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.18871124192797264	aracne_Microglia_CASTJ
Arhgef40	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.06995519419855953	aracne_Microglia_CASTJ
Ext1	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.06824530989153613	aracne_Microglia_CASTJ
Olfml3	3	0.03896103896103896	3	0.03896103896103896	0	0.0	0.0	0.25737585440784305	aracne_Microglia_CASTJ
Pcdh9	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.14472942857243748	aracne_Microglia_CASTJ
Ly86	3	0.03896103896103896	3	0.03896103896103896	0	0.0	0.0	0.2504889755367087	aracne_Microglia_CASTJ
Plcl1	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.08785135965898891	aracne_Microglia_CASTJ
Arhgap4	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.10935275361702405	aracne_Microglia_CASTJ
Hexb	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.1146403803022361	aracne_Microglia_CASTJ
Cradd	3	0.03896103896103896	3	0.03896103896103896	0	0.0	0.0	0.1494039529730205	aracne_Microglia_CASTJ
Dgki	3	0.03896103896103896	3	0.03896103896103896	0	0.0	0.0	0.19648673984828577	aracne_Microglia_CASTJ
Marcks	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.1261352531400469	aracne_Microglia_CASTJ
Esrrg	2	0.025974025974025976	0	0.0	2	0.025974025974025976	0.0	0.060830081518299155	aracne_Microglia_CASTJ
Peak1	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.16389501036099485	aracne_Microglia_CASTJ
