	degree_all	degree_centrality_all	degree_in	degree_centrality_in	degree_out	degree_centrality_out	betweenness_centrality	eigenvector_centrality	cluster
Pbx1	23	0.2987012987012987	2	0.025974025974025976	21	0.2727272727272727	61.0	0.7511414047511934	aracne_Microglia_CASTJ
Srrm2	5	0.06493506493506493	5	0.06493506493506493	0	0.0	0.0	0.4907195134332706	aracne_Microglia_CASTJ
Zeb2	21	0.2727272727272727	2	0.025974025974025976	19	0.24675324675324675	52.0	0.5757408468478781	aracne_Microglia_CASTJ
Celf2	3	0.03896103896103896	3	0.03896103896103896	0	0.0	0.0	0.27209427171557393	aracne_Microglia_CASTJ
Kmt2a	32	0.4155844155844156	1	0.012987012987012988	31	0.4025974025974026	74.0	0.5585464781303825	aracne_Microglia_CASTJ
Cst3	4	0.05194805194805195	4	0.05194805194805195	0	0.0	0.0	0.4221794338368966	aracne_Microglia_CASTJ
Son	3	0.03896103896103896	3	0.03896103896103896	0	0.0	0.0	0.3690246655586429	aracne_Microglia_CASTJ
Mlxipl	45	0.5844155844155844	1	0.012987012987012988	44	0.5714285714285714	80.0	1.0	aracne_Microglia_CASTJ
Sfi1	3	0.03896103896103896	3	0.03896103896103896	0	0.0	0.0	0.2856318906208448	aracne_Microglia_CASTJ
Setbp1	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.22063875166427163	aracne_Microglia_CASTJ
Akt3	3	0.03896103896103896	3	0.03896103896103896	0	0.0	0.0	0.2682716669248735	aracne_Microglia_CASTJ
Pecam1	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.2710756601290798	aracne_Microglia_CASTJ
Slc16a7	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.15891440428867684	aracne_Microglia_CASTJ
Cfap74	3	0.03896103896103896	3	0.03896103896103896	0	0.0	0.0	0.33547984513147094	aracne_Microglia_CASTJ
Acer3	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.21235299102689284	aracne_Microglia_CASTJ
Cmss1	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.18454227927722824	aracne_Microglia_CASTJ
Cdk8	3	0.03896103896103896	3	0.03896103896103896	0	0.0	0.0	0.19815182248256616	aracne_Microglia_CASTJ
P2ry12	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.20488166877441166	aracne_Microglia_CASTJ
Slc8a1	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.07864810733302355	aracne_Microglia_CASTJ
Slc9a9	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.14972694621094015	aracne_Microglia_CASTJ
Nhs	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.18871124192797276	aracne_Microglia_CASTJ
Arhgef40	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.06995519419855953	aracne_Microglia_CASTJ
Ext1	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.06824530989153614	aracne_Microglia_CASTJ
Olfml3	3	0.03896103896103896	3	0.03896103896103896	0	0.0	0.0	0.25737585440784316	aracne_Microglia_CASTJ
Pcdh9	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.14472942857243745	aracne_Microglia_CASTJ
Ly86	3	0.03896103896103896	3	0.03896103896103896	0	0.0	0.0	0.2504889755367088	aracne_Microglia_CASTJ
Plcl1	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.08785135965898899	aracne_Microglia_CASTJ
Arhgap4	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.10935275361702412	aracne_Microglia_CASTJ
Hexb	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.11464038030223621	aracne_Microglia_CASTJ
Cradd	3	0.03896103896103896	3	0.03896103896103896	0	0.0	0.0	0.14940395297302067	aracne_Microglia_CASTJ
Dgki	3	0.03896103896103896	3	0.03896103896103896	0	0.0	0.0	0.1964867398482859	aracne_Microglia_CASTJ
Marcks	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.12613525314004692	aracne_Microglia_CASTJ
Esrrg	2	0.025974025974025976	0	0.0	2	0.025974025974025976	0.0	0.06083008151829912	aracne_Microglia_CASTJ
Peak1	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.1638950103609949	aracne_Microglia_CASTJ
Prkcq	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.09341526165549817	aracne_Microglia_CASTJ
Kcnq1ot1	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.11063920020927313	aracne_Microglia_CASTJ
Mctp1	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.09230674876205625	aracne_Microglia_CASTJ
Prkn	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.050848721487183536	aracne_Microglia_CASTJ
Fhit	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.052121466263235286	aracne_Microglia_CASTJ
Wwox	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.04799932230704341	aracne_Microglia_CASTJ
Gatm	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.08415380058503515	aracne_Microglia_CASTJ
Rapgef5	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.08730288636825517	aracne_Microglia_CASTJ
Rasal3	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.08296157642734951	aracne_Microglia_CASTJ
Pvt1	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.044857611695330514	aracne_Microglia_CASTJ
Phactr1	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.07708626256509937	aracne_Microglia_CASTJ
Nlgn1	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.07675627950301261	aracne_Microglia_CASTJ
Nrg3	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.07439987627196008	aracne_Microglia_CASTJ
Gm28187	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.07405677211010224	aracne_Microglia_CASTJ
Csmd1	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.09668956578617852	aracne_Microglia_CASTJ
Rbfox1	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.0407156164709293	aracne_Microglia_CASTJ
Cask	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.03888804874004604	aracne_Microglia_CASTJ
Ylpm1	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.04003032118424915	aracne_Microglia_CASTJ
Nrxn3	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.10291410742008172	aracne_Microglia_CASTJ
Pid1	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.06747461649665101	aracne_Microglia_CASTJ
Ntm	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.061148765599346996	aracne_Microglia_CASTJ
Nr3c2	2	0.025974025974025976	1	0.012987012987012988	1	0.012987012987012988	4.0	0.03336217568182746	aracne_Microglia_CASTJ
Lsamp	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.08926917151925996	aracne_Microglia_CASTJ
Ppm1l	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.05601993587554233	aracne_Microglia_CASTJ
Immp2l	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.001761558099372065	aracne_Microglia_CASTJ
